Ticker,Sector,Industry,MarketCap,PE,ForwardPE,PB,PS,PEG,EPS,RevenueGrowth,EarningsGrowth,ROE,ROA,GrossMargin,OperatingMargin,NetMargin,DebtEquity,CurrentRatio,DivYield,Beta,ShortFloat,InstOwnership
GEO,Industrials,Security & Protection Services,2287010816.0,9.0274725,9.230337,1.4597957,0.86907405,,1.82,0.165,1.177,0.17924,0.04968,0.25197,0.12129,0.09666,114.709,2.013,,0.76,0.0748,0.94208
GETY,Communication Services,Internet Content & Information,336301344.0,,8.113284,0.60800606,0.3427135,,-0.5,0.141,,-0.31264,0.04097,0.73370004,0.12401,-0.21004999,332.591,0.773,,2.185,0.2259,0.15929
GF,Financial Services,Asset Management,165357360.0,1.6809211,,0.80459774,44.598343,,6.08,1.191,,0.31037,0.0036700002,1.0,-2.22139,14.97974,13.187,0.951,1.45,0.889,0.001,0.66678
GFF,Industrials,Building Products & Equipment,3179028480.0,67.57426,11.650078,29.191616,1.2532424,,1.01,0.026,-0.054,0.26521,0.13024999,0.41807,0.17485,0.0176,1421.355,2.555,1.29,1.253,0.0368,0.78846
GFI,Basic Materials,Gold,34968596480.0,9.916244,6.987891,4.1440387,3.9958177,,3.94,0.714,1.961,0.51931,0.21619,0.5529,0.52571,0.40764,37.143,1.793,5.94,0.698,0.0088,0.19875
GFL,Industrials,Waste Management,14604345344.0,99.39024,42.036217,2.7428308,2.2074616,,0.41,0.073,,0.03279,0.01234,0.20667,0.06369,0.57953,105.981,0.583,0.15,0.516,0.044499997,1.0131401
GFR,Energy,Oil & Gas E&P,867796672.0,14.416667,17.278612,1.0213042,1.4849488,,0.48,-0.354,,0.04778,0.050970003,0.29546,0.18504,0.08129,0.523,1.557,,0.274,0.0007,0.49764
GGB,Basic Materials,Steel,6444533760.0,25.076923,6.11821,0.62759346,0.092251204,,0.13,0.009,,0.025339998,0.04153,0.11405,0.07026,0.01985,28.95,2.893,3.5,0.918,0.0019,0.27581
GGG,Industrials,Specialty Industrial Machinery,13908125696.0,27.237013,24.263195,5.2202864,6.2184124,,3.08,0.081,0.238,0.19925,0.12001,0.52454,0.27471,0.23332001,1.944,3.15,1.41,1.068,0.0274,0.9185
GGT,Financial Services,Asset Management,160326048.0,3.144,,1.0358461,35.916195,,1.25,0.802,0.049,0.21049999,0.00519,1.0,0.41537,9.53514,,1.392,22.39,0.908,0.0019,0.08071999
GGZ,Financial Services,Asset Management,118327568.0,5.0792384,,,,,2.89,,,,,0.0,0.0,0.0,,,5.72,,0.0011999999,0.24771
GHC,Consumer Defensive,Education & Training Services,4523266560.0,15.601415,15.745938,0.9432016,0.9209424,,66.46,0.004,-0.801,0.06481,0.02917,0.29927,0.06555,0.059510004,30.171,1.751,0.73,0.808,0.0542,0.83322996
GHG,Consumer Cyclical,Lodging,123883096.0,4.692308,2.489796,0.49826616,0.10434796,,0.26,-0.15,-0.066,0.10572,0.01505,0.3541,0.2308,0.15178001,98.275,1.639,4.92,0.589,,0.10687
GHI,Financial Services,Mortgage Finance,126166128.0,31.470587,3.0571427,0.44901383,5.0083294,,0.17,-0.156,,-0.019960001,-0.00494,1.0,0.13916999,-0.30851,289.235,0.874,18.5,0.588,0.0046,0.10583
GHM,Industrials,Specialty Industrial Machinery,885047296.0,59.207405,40.16583,6.688703,3.7255738,,1.35,0.205,0.786,0.121470004,0.03785,0.24627,0.07021,0.06283,4.61,1.059,,0.938,0.038399998,0.84312
GHY,Financial Services,Asset Management,474651392.0,8.459854,,,,,1.37,,,,,0.0,0.0,0.0,,,10.87,,,0.25489
GIB,Technology,Information Technology Services,15643901952.0,13.407,10.258425,2.1474407,0.96532834,,5.43,0.077,0.057,0.16781001,0.09016,0.20479,0.16061,0.102539994,44.51,0.94,0.69,0.226,,0.7288
GIC,Industrials,Industrial Distribution,1165982720.0,16.372972,13.705882,3.6943529,0.8454664,,1.85,0.143,0.354,0.24229999,0.11076,0.35544997,0.05671,0.05228,33.078,2.221,3.5,0.853,0.0218,0.35105
GIL,Consumer Cyclical,Apparel Manufacturing,10409298944.0,21.785994,10.42957,2.9102345,2.8761039,,2.57,0.313,-0.592,0.15698,0.06864,0.32196,0.2067,0.11021,132.116,2.107,1.78,1.014,0.0227,0.92113996
GJH,,,,,,,,,,,,,,,,,,,,,,
GJO,,,,,,,,,,,,,,,,,,,,,,
GJP,,,,,,,,,,,,,,,,,,,,,,
GJR,,,,,,,,,,,,,,,,,,,,,,
GJS,,,,,,,,,,,,,,,,,,,,,,
GJT,,,,,,,,,,,,,,,,,,,,,,
GKOS,Healthcare,Medical Devices,5865379328.0,,249.3457,8.851783,11.558719,,-3.28,0.357,,-0.26378,-0.058029998,0.77965,-0.18866,-0.36988,16.238,4.69,,0.743,0.068,1.00553
GLED-U,,,,,,,,,,,,,,,,,,,,,,
GLOB,Technology,Information Technology Services,1969641216.0,19.524017,6.687207,0.93613905,0.80233806,,2.29,-0.047,0.095,0.04956,0.04736,0.35002998,0.19084999,0.04192,24.23,1.644,,1.229,0.1387,1.12095
GLP,Energy,Oil & Gas Midstream,1577637120.0,22.104267,18.581673,2.626126,0.08499549,,2.11,0.11,0.05,0.14076,0.037890002,0.0602,0.01212,0.00427,307.313,1.141,6.52,1.005,0.0150999995,0.49293998
GME,Consumer Cyclical,Specialty Retail,10111574016.0,25.647728,27.864197,1.90625,2.655211,,0.88,-0.046,2.268,0.083459996,0.016449999,0.30794,0.06334,0.11076,82.812,10.391,,1.886,0.1604,0.36733
GME-W,,,,,,,,,,,,,,,,,,,,,,
GMED,Healthcare,Medical Devices,11666928640.0,22.005102,17.404675,2.5473983,3.9697866,,3.92,0.257,4.37,0.122930005,0.071090005,0.68072,0.24381,0.18301001,2.612,4.264,,1.069,0.026600001,1.0221801
GMMF,,,,,,,,,,,,,,,,,,,3.74,,,
GNE,Utilities,Utilities - Regulated Electric,361371552.0,46.655174,29.413042,1.8064085,0.7477416,,0.29,0.236,-0.32,0.03585,0.05659,0.25722998,0.05353,0.010039999,5.191,1.907,2.22,0.163,0.0272,0.41393003
GNK,Industrials,Marine Shipping,935664768.0,,13.686998,1.0419179,2.7354298,,-0.1,0.108,0.217,-0.00495,0.00463,0.35735,0.17315,-0.01276,21.677,2.388,4.4,1.135,0.0277,0.55735
GNL,Real Estate,REIT - Diversified,2021318656.0,,-54.235294,1.1964704,4.081114,,-0.81,-0.151,,-0.07051,0.02001,0.88316,0.35988,-0.45521,153.854,2.532,8.24,1.098,0.0651,0.71883005
GNT,Financial Services,Asset Management,124400936.0,5.6058393,,,,,1.37,,,,,0.0,0.0,0.0,,,9.38,,0.013300001,0.28441998
GNW,Financial Services,Insurance - Life,3191050752.0,14.796295,8.877778,0.35779858,0.43707037,,0.54,0.001,,0.03645,0.0038400001,0.07355,0.0241,0.030539999,24.644,10.486,,1.002,0.028800001,0.91420996
GOF,Financial Services,Asset Management,2294306560.0,6.254335,,,,,1.73,,,,,0.0,0.0,0.0,,,20.2,,,0.19298
GOLD,Financial Services,Capital Markets,1189088128.0,88.041664,,1.6092304,0.07584032,,0.48,1.362,0.704,0.020380002,0.01277,0.01843,0.00402,0.0008,129.618,1.213,1.89,0.406,0.0866,0.58965
GOLF,Consumer Cyclical,Leisure,5240216576.0,28.723475,21.525301,6.54816,2.0479755,,3.11,0.072,,0.23653999,0.08505999,0.47729,-0.029560002,0.07369,136.665,2.384,1.14,0.905,0.1814,0.58992
GOOS,Consumer Cyclical,Apparel Manufacturing,1047044672.0,67.375,14.704679,2.5432355,0.71739954,,0.16,0.142,-0.042,0.04185,0.02702,0.70195,0.28826,0.014730001,129.847,2.122,,1.797,0.11,0.66652
GOTU,Consumer Defensive,Education & Training Services,474421856.0,,12.80713,2.5834863,0.07718228,,-0.19,0.214,,-0.20288,-0.05229,0.67434996,-0.07005,-0.052600004,46.684,0.938,,0.649,0.018,0.15346
GPGI,Industrials,Metal Fabrication,4941302272.0,,14.753318,8.908616,82.59732,,-1.23,-1.0,,-2.72842,-0.01732,0.48053002,-0.22952,-2.2734199,,6.332,0.06,1.057,0.048600003,0.57651
GPI,Consumer Cyclical,Auto & Truck Dealerships,4020704512.0,12.672372,6.676156,1.3598789,0.17813271,,25.12,0.006,-0.502,0.11233,0.059270002,0.16046,0.03885,0.01441,210.473,1.076,0.69,0.909,0.121800005,1.02606
GPJA,,,198751776.0,0.13197301,,0.014810121,,,,,,,,,,,,,,,,
GPK,Consumer Cyclical,Packaging & Containers,2635051264.0,6.02027,6.5503144,0.78821653,0.30579683,,1.48,0.004,-0.48,0.13984,0.04658,0.18719,0.068,0.05153,175.787,1.303,4.94,0.619,0.1491,1.17441
GPMT,Real Estate,REIT - Mortgage,72772376.0,,-3.2210526,0.1316922,11.534693,,-1.16,,,-0.07022,-0.021270001,0.42875,2.4476402,0.0,212.011,3.65,13.07,1.745,0.0031,0.48063
GPOR,Energy,Oil & Gas E&P,3958402816.0,9.540037,7.151023,2.1008816,3.03997,,21.48,0.252,,0.23877001,0.12731,0.67609,0.51023996,0.32854998,42.99,0.682,,0.604,0.0477,1.06577
GPRK,Energy,Oil & Gas E&P,507142400.0,10.208334,7.509579,2.0605552,1.0297308,,0.96,-0.233,1.035,0.22134,0.079,0.71349996,0.18767,0.10090999,225.224,1.601,1.22,0.426,0.0191,0.37705
GRBK,Consumer Cyclical,Residential Construction,2668797952.0,8.664781,8.714082,1.4612155,1.2717822,,7.07,-0.026,-0.23,0.1892,0.10697,0.30537,0.18726999,0.14926,17.016,8.7,,1.975,0.0681,0.80182
GRC,Industrials,Specialty Industrial Machinery,1545353216.0,29.074257,22.675676,3.714033,2.2646222,,2.02,0.024,0.238,0.13447,0.07002,0.31045,0.14553,0.07769,79.284,2.37,1.29,1.278,0.016,0.64802
GRDN,Healthcare,Medical Care Facilities,2255480832.0,45.666668,26.23941,10.963373,1.5569159,,0.78,0.174,,0.26615,0.13683,0.20206,0.08895001,0.033970002,20.523,1.379,,,0.0687,0.57248
GRND,Technology,Software - Application,2323603712.0,29.186047,16.513159,49.409447,5.282142,,0.43,0.29,,,0.16360001,0.74412,0.29551,0.21539,852.206,1.955,,0.247,0.1401,0.18957001
GRNT,Energy,Oil & Gas E&P,721742336.0,30.499998,10.09191,1.1895992,1.6866844,,0.18,0.001,,0.03924,0.06696,0.78954005,0.20864001,0.05691,63.611,1.249,8.01,0.317,0.062800005,0.79347
GROV,Consumer Defensive,Household & Personal Products,57942716.0,,-7.368421,-3.4398034,0.33354852,,-0.64,-0.143,,-0.97650003,-0.11978,0.53693,-0.03744,-0.06744,263.064,1.253,,1.218,0.0791,0.30201998
GRX,Financial Services,Asset Management,139792640.0,,,,,,-0.02,,,,,0.0,0.0,0.0,,,7.54,,0.0014,0.40813
GSBD,Financial Services,Asset Management,1031582400.0,8.776699,7.609428,0.7151333,2.821862,,1.03,-0.171,-0.347,0.079619996,0.05316,1.0,0.83474,0.32625,131.972,0.12,15.82,0.645,0.0376,0.35901
GSK,Healthcare,Drug Manufacturers - General,104118755328.0,14.086956,10.098669,9.523744,3.1872761,,3.68,0.062,0.547,0.43310001,0.09793,0.72612,0.18926,0.17497998,111.475,0.819,3.44,0.322,0.0054,0.19792
GSL,Industrials,Marine Shipping,1357535104.0,3.3392227,4.0148697,0.75373876,1.8029193,,11.32,0.033,0.1,0.25514,0.092860006,0.68981004,0.46819,0.55309,38.263,2.044,6.61,0.901,0.026800001,0.45898
GTES,Industrials,Specialty Industrial Machinery,5615015424.0,22.645834,11.697416,1.653232,1.630755,,0.96,0.032,0.364,0.078839995,0.04737,0.40491,0.15989,0.07301,64.814,3.374,,1.226,0.033800002,1.08929
GTLS,Industrials,Specialty Industrial Machinery,9909613568.0,627.3636,14.421178,3.063299,2.3240182,,0.33,-0.025,-0.352,0.012180001,0.042740002,0.33720002,0.12014,0.00955,109.011,1.362,,1.754,0.095,1.00037
GTN,Communication Services,Broadcasting,527369280.0,,26.64706,0.20358637,0.17039394,,-1.41,-0.242,,-0.02963,0.024489999,0.24588,0.14646,-0.027460001,207.237,1.271,7.06,0.866,0.056900002,0.86161005
GTN-A,Communication Services,Broadcasting,1342863104.0,,-20.21875,0.5815469,0.43388143,,-1.41,-0.242,,-0.02963,0.024489999,0.24588,0.14646,-0.027460001,207.237,1.271,2.47,0.866,0.0053,0.12865
GTY,Real Estate,REIT - Retail,1918914432.0,23.762964,21.390804,1.7897792,8.654401,,1.35,0.142,0.17,0.07786,0.038540002,0.96056,0.59699,0.35716,94.189,1.153,6.05,0.848,0.1909,0.84277
GUG,Financial Services,Asset Management,494701248.0,11.71875,,,,,1.28,,,,,0.0,0.0,0.0,,,9.5,,,0.32773998
GUT,Financial Services,Asset Management,518437440.0,10.740741,,1.9053878,45.604145,,0.54,0.219,-0.212,0.14962,0.01403,1.0,0.6287,4.21405,0.002,1.055,10.34,0.588,0.0069999998,0.08049
GVA,Industrials,Engineering & Construction,5071671296.0,30.101038,16.597221,4.286347,1.1463013,,3.86,0.192,0.251,0.19153,0.0495,0.16075,0.033800002,0.04362,122.599,1.223,0.45,1.281,0.109,1.22036
GWH,Industrials,Electrical Equipment & Parts,37696540.0,,-1.8088236,3.1948054,23.813354,,-4.34,,,-3.38329,-0.5662,0.0,10.197101,0.0,245.753,1.038,,1.501,0.040900003,0.21316999
GWH-W,,,,,,,,,,,,,,,,,,,,,,
GWRE,Technology,Software - Application,13229834240.0,146.8019,36.74944,8.720578,9.859678,,1.06,0.24,,0.13626,0.02173,0.63761,0.10705,0.14112,46.669,2.933,,1.095,0.048800003,1.00429
GXO,Industrials,Integrated Freight & Logistics,5727648768.0,178.32143,14.394193,1.9166987,0.43463716,,0.28,0.079,-0.555,0.0119,0.02359,0.15086001,0.040489998,0.00243,194.163,0.849,,1.695,0.0442,1.06932
GYLD,,,,12.622209,,,,,,,,,,,,,,,7.51,,,
H,Consumer Cyclical,Lodging,13424814080.0,,31.322458,4.0324044,3.8665938,,-0.55,0.175,,-0.0130900005,0.0238,0.41877997,0.14765,-0.01498,124.515,0.752,0.42,1.256,0.22790001,1.26053
HAE,Healthcare,Medical Devices,2742110720.0,16.137741,11.007782,3.0098138,2.080075,,3.63,-0.027,0.284,0.19297001,0.06446,0.60213,0.21009001,0.13307999,134.402,1.748,,0.313,0.0784,1.15278
HAFN,Industrials,Marine Shipping,3498469120.0,10.447761,10.9375,1.496366,1.5331327,,0.67,-0.309,0.473,0.14794,0.05923,0.28061,0.29832,0.14886,48.205,1.53,7.8,-0.203,0.006,0.33176997
HASI,Financial Services,Asset Management,4565934592.0,25.262411,10.968031,1.7593598,47.585117,,1.41,-0.098,,0.07436,0.02466,1.0,0.105900005,1.9233099,194.08,3.543,4.73,1.464,0.1429,1.06027
HAYW,Industrials,Electrical Equipment & Parts,2962712576.0,20.058825,14.550731,1.8610998,2.640199,,0.68,0.068,0.241,0.10049,0.04894,0.48299,0.25967,0.13507,63.929,2.943,,1.128,0.0353,1.07726
HBB,Consumer Cyclical,"Furnishings, Fixtures & Appliances",220736560.0,8.420512,10.2625,1.2038122,0.36374038,,1.95,-0.003,-0.212,0.15170999,0.0563,0.25732002,0.09612001,0.04359,50.268,2.473,2.92,0.185,0.0198,0.42984
HBM,Basic Materials,Copper,7175578624.0,12.555555,8.917122,2.2205846,3.2453995,,1.44,0.253,5.449,0.19198999,0.06042,0.53501,0.29758,0.25712,35.803,0.947,0.08,2.03,,0.80408996
HCC,Basic Materials,Coking Coal,4674861568.0,81.981476,10.089109,2.173614,3.5641265,,1.08,0.294,19.18,0.02694,0.010629999,0.22992,0.09009,0.04346,12.652,3.191,0.36,0.757,0.1089,1.07392
HCI,Financial Services,Insurance - Property & Casualty,1968930816.0,6.670335,8.607128,3.5149364,2.1854038,,22.72,0.48,,0.40462002,0.11517,0.5957,-0.03595,0.33188,27.574,1.201,1.06,1.114,0.0369,0.81564003
HCXY,,,1323693440.0,19.464285,,2.4399028,,,,,,,,,,,,,,,,
HDB,Financial Services,Banks - Regional,130266890240.0,17.631943,18.65403,6.490515,0.045782685,,1.44,0.264,0.115,0.14015001,0.01749,0.0,0.34794998,0.26187,,,1.48,0.364,0.0021,0.13803001
HE,Utilities,Utilities - Regulated Electric,2427044096.0,19.802818,12.194276,1.5113404,0.78624094,,0.71,0.008,,0.078940004,0.01672,0.18961,0.084309995,0.03988,186.06,1.32,,0.568,0.124,0.88882005
HEI,Industrials,Aerospace & Defense,38389882880.0,54.379448,43.471737,8.519413,8.28546,,5.06,0.144,0.125,0.16567,0.07853,0.3962,0.22241,0.1538,49.699,3.059,0.09,1.025,0.0425,0.7585
HEI-A,Industrials,Aerospace & Defense,33382881280.0,41.469303,48.58933,6.4839926,7.2048287,,5.05,0.144,0.125,0.16567,0.07853,0.3962,0.22241,0.1538,49.699,3.059,0.11,1.025,0.0076,0.83212
HEQ,Financial Services,Asset Management,127710024.0,6.7692313,,,,,1.56,,,,,0.0,0.0,0.0,,,9.47,,,0.38542998
HESM,Energy,Oil & Gas Midstream,8249860608.0,13.842658,12.8934555,9.014116,5.0884233,,2.86,0.021,0.092,1.51594,0.14757,0.77142,0.62246,0.21766001,861.384,0.847,7.49,0.569,0.0915,0.95685995
HF,,,,25.53801,,,,,,,,,,,,,,,,,,
HFEQ,,,,18.354784,,,,,,,,,,,,,,,,,,
HFGM,,,,24.048729,,,,,,,,,,,,,,,,,,
HFMF,,,,27.76873,,,,,,,,,,,,,,,,,,
HFND,,,,20.160723,,,,,,,,,,,,,,,4.75,,,
HFRO,Financial Services,Asset Management,308303936.0,,,,,,-0.68,,,,,0.0,0.0,0.0,,,8.29,,0.0018000001,0.86476
HG,Financial Services,Insurance - Reinsurance,2830475264.0,5.144144,5.8578644,1.0018247,0.9721678,,5.55,0.294,4.333,0.32615003,0.06125,0.39351,0.26877,0.19806999,5.559,2.011,,0.554,0.021,0.86157
HGER,,,,,,,,,,,,,,,,,,,6.23,,,
HGLB,Financial Services,Asset Management,191716688.0,2.877193,,,,,2.85,,,,,0.0,0.0,0.0,,,12.77,,0.0011,0.47527
HGTY,Financial Services,Insurance - Property & Casualty,3594070016.0,28.35135,17.720491,4.7725205,2.4677954,,0.37,0.165,4.103,0.20908001,0.059180003,0.62305,0.18638,0.028469998,23.815,1.432,,0.901,0.0085,0.89927
HGV,Consumer Cyclical,Resorts & Casinos,3442254336.0,45.213486,8.363575,2.5952919,0.7627419,,0.89,0.037,1.872,0.059369996,0.03052,0.23244,0.15772,0.01795,510.417,4.457,,1.469,0.1096,1.1149299
HHH,Real Estate,Real Estate - Development,3676580608.0,27.895927,60.441177,0.9613136,2.4927795,,2.21,-0.365,-0.969,0.03706,0.02024,0.47687,0.07361,0.084,133.135,1.901,,1.255,0.072,0.90055
HIMS,Healthcare,Drug Manufacturers - Specialty & Generic,5019211776.0,43.17647,14.684797,9.252101,2.1379845,,0.51,0.284,-0.174,0.25228,0.05291,0.73835,0.02724,0.05468,207.161,1.898,,2.608,0.4609,0.85775
HIO,Financial Services,Asset Management,340455200.0,12.785714,,0.877451,10.2602625,,0.28,-0.074,0.064,0.066199996,0.045760002,1.0,0.88642,0.78845,,0.532,11.9,0.543,,0.3227
HIPO,Financial Services,Insurance - Property & Casualty,664337600.0,11.522522,10.1306925,1.5074548,1.4177072,,2.22,0.182,-0.863,0.15625,-0.00931,0.50939,0.058969997,0.12312999,12.016,1.066,,1.625,0.0293,0.52595
HIW,Real Estate,REIT - Office,2306688256.0,14.206897,33.225807,0.9624819,2.8531137,,1.45,-0.016,,0.06684,0.02152,0.67670995,0.26158002,0.19742,149.2,2.378,9.71,1.081,0.123100005,1.03214
HIX,Financial Services,Asset Management,354874656.0,9.16279,,0.90160185,7.2024817,,0.43,-0.081,0.229,0.09746,0.04555,1.0,0.89502996,0.79223,47.678,0.05,14.92,0.988,,0.26073998
HKD,Technology,Software - Application,477704608.0,8.444444,,1.7966902,3.5099785,,0.18,3.409,0.81,0.25443,0.0738,0.75635004,0.60452,0.40195,43.154,1.925,,2.087,0.0076,0.0019
HL,Basic Materials,Other Precious Metals & Mining,11556831232.0,35.183674,14.131379,4.4593897,8.121347,,0.49,0.795,9.515,0.13893,0.10144,0.54969,0.49105,0.22608,11.0,2.718,0.09,1.284,0.0464,0.75162005
HLF,Consumer Defensive,Packaged Foods,1520507520.0,6.6863637,4.817975,-2.9502606,0.3018377,,2.2,0.063,-0.533,,0.11269,0.77874,0.08332,0.04532,,1.13,,0.853,0.0799,1.02229
HLI,Financial Services,Capital Markets,9735866368.0,21.397238,15.89468,4.238364,3.6766796,,6.52,0.13,0.223,0.20472999,0.12082,0.94631,0.24865,0.1691,21.673,1.493,1.72,0.963,0.0275,1.0111799
HLIO,Industrials,Specialty Industrial Machinery,2087095296.0,43.448273,19.6875,2.2386467,2.4875987,,1.45,0.174,3.078,0.0539,0.03858,0.32372,0.12808,0.057690002,41.46,2.897,0.76,1.246,0.036,1.02442
HLLY,Consumer Cyclical,Auto Parts,325986112.0,17.0,6.4761906,0.71843636,0.53134257,,0.16,0.11,,0.04408,0.04646,0.43395,0.13177,0.03125,124.893,2.746,,1.341,0.0235,0.90018
HLLY-W,,,,,,,,,,,,,,,,,,,,,,
HLN,Healthcare,Drug Manufacturers - Specialty & Generic,44834910208.0,20.55102,16.541822,4.0942826,4.064815,,0.49,0.006,0.92,0.10273,0.04674,0.64769,0.23171,0.15113,52.372,0.922,1.89,0.248,0.0038,0.12726
HLX,Energy,Oil & Gas Equipment & Services,1412569600.0,45.666668,15.467742,0.8934228,1.0937654,,0.21,-0.059,-0.569,0.01989,0.01995,0.12322,0.09076,0.02387,39.86,2.753,,1.218,0.049099997,0.88964
HMC,Consumer Cyclical,Auto Manufacturers,31647799296.0,10.3076935,4.8629036,1.1993245,0.0014833257,,2.34,-0.034,-0.412,0.042969998,0.012940001,0.20478001,0.0287,0.02325,106.013,1.361,5.76,0.071,0.0018000001,0.04242
HMN,Financial Services,Insurance - Property & Casualty,1688019328.0,10.638462,8.203658,1.1377722,0.99213547,,3.9,0.063,-0.054,0.11703,0.009980001,0.38116002,0.12810001,0.09527001,110.13,1.672,3.47,0.043,0.0229,1.03098
HMY,Basic Materials,Gold,8410050048.0,8.821192,5.203125,2.7759244,0.10362948,,1.51,0.195,0.227,0.33491,0.17304,0.43502,0.3334,0.20055,25.469,0.542,1.57,0.559,0.011,0.21541001
HNGE,Healthcare,Health Information Services,3345862400.0,,18.443502,18.821444,5.6915975,,-7.77,0.456,-0.808,-1.32856,-0.48162997,0.79832,0.15965,-0.89862,2.124,1.473,,,0.070300005,0.97576
HNI,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2422501376.0,30.621622,6.984242,1.3202564,0.8532939,,1.11,0.383,,0.040510003,0.04467,0.41515,0.0726,0.01909,86.816,1.239,4.0,0.904,0.0334,0.83059
HOG,Consumer Cyclical,Recreational Vehicles,2076934016.0,6.323741,9.412244,0.6250222,0.46430868,,2.78,-0.278,,0.10424,0.02812,0.29843,-0.69644,0.075729996,96.732,2.101,4.14,1.404,0.2138,1.01807
HOMB,Financial Services,Banks - Regional,5136084992.0,10.838174,9.882821,1.1936207,4.806665,,2.41,0.108,0.203,0.115150005,0.02096,0.0,0.56928,0.44494998,,,3.14,0.757,0.0598,0.74797
HOV,Consumer Cyclical,Residential Construction,617869120.0,16.081917,24.714966,0.88209367,0.21038067,,6.47,-0.062,-0.268,0.06856,0.02388,0.15159,0.02049,0.01925,124.179,4.569,,2.071,0.0706,0.63318
HP,Energy,Oil & Gas Drilling,3708781568.0,,34.128864,1.3993632,0.9077387,,-3.19,0.502,,-0.10963,0.01883,0.31878,0.04334,-0.07714,75.239,2.026,2.74,0.563,0.107,1.01178
HPF,Financial Services,Asset Management,333604928.0,11.345589,,0.97190726,8.7242985,,1.36,-0.02,-0.533,0.08545999,0.03818,1.0,0.88398004,0.76897,60.22,5.308,9.6,0.69,,0.12154
HPI,Financial Services,Asset Management,414891040.0,11.3138685,,0.96735936,8.758169,,1.37,-0.019,-0.537,0.0855,0.03797,1.0,0.88443,0.77511,59.945,7.072,9.56,0.811,,0.14197999
HPP,Real Estate,REIT - Office,2503813120.0,,-1.6916169,0.12013609,3.0128744,,-12.81,0.236,,-0.18559,-0.0036700002,0.48458,0.19236,-0.66386,117.408,0.292,,1.502,0.098400004,1.15887
HPS,Financial Services,Asset Management,451799040.0,11.532786,,0.98488027,8.862993,,1.22,-0.021,-0.522,0.084709994,0.03827,1.0,0.88536,0.76374,59.793,9.409,9.38,0.709,,0.13352999
HQH,Financial Services,Asset Management,981977664.0,10.987577,,0.89774173,130.35057,,1.61,-0.487,0.911,0.09159,-0.0018600001,1.0,-0.88141996,13.09021,,0.766,14.25,0.714,,0.23704
HQL,Financial Services,Asset Management,479202848.0,5.802868,,0.9329262,247.21695,,2.79,-0.699,2.594,0.17588,-0.0043200003,1.0,-3.4682999,44.15744,,0.731,13.84,0.752,,0.37857
HR,Real Estate,REIT - Healthcare Facilities,6128299520.0,,-287.0,1.3114005,5.191899,,-0.71,-0.078,,-0.04998,0.0058399998,0.61782,0.11707,-0.20847,88.769,0.733,5.98,0.79,0.077199996,1.12538
HRB,Consumer Cyclical,Personal Services,4029692160.0,7.42757,5.6996865,-4.896042,1.0630944,,4.28,0.111,,,0.18691,0.44169998,-1.50292,0.16193001,,1.285,5.28,0.356,0.1757,0.95625997
HRI,Industrials,Rental & Leasing Services,3351041280.0,3347.3333,8.9492035,1.7166399,0.76577723,,0.03,0.271,,0.00059999997,0.038680002,0.33318,0.14392,0.00023,497.074,1.31,2.79,1.714,0.0664,1.08279
HRTG,Financial Services,Insurance - Property & Casualty,792878336.0,4.058544,5.2134147,1.4902394,0.9357374,,6.32,0.024,2.26,0.49141,0.07159,0.42501,0.41649,0.23084,19.756,0.832,,0.931,0.053400002,0.65833
HSBC,Financial Services,Banks - Diversified,264520417280.0,12.825,8.118168,7.4304748,4.183861,,6.0,0.584,23.979,0.11625,0.0074,0.0,0.55234003,0.35248002,,,4.87,0.465,,0.024500001
HSHP,Industrials,Marine Shipping,591122304.0,32.526314,,3.5660703,4.4815946,,0.38,0.422,13.314,0.11188,0.04888,0.77559,0.61758,0.13419,426.221,1.085,5.83,0.992,0.0109,0.28284
HTB,Financial Services,Banks - Regional,723578432.0,11.1505375,11.225981,1.181497,3.5118515,,3.72,-0.016,0.122,0.1117,0.01408,0.0,0.40120998,0.31239,,,1.25,0.888,0.0095999995,0.62676996
HTD,Financial Services,Asset Management,857804416.0,8.124161,,0.93222946,12.059704,,2.98,0.111,-0.415,0.11728,0.02876,1.0,0.85515,1.48106,46.503,0.016,7.58,0.843,0.0008,0.17132999
HTFC,,,,,,,,,,,,,,,,,,,,,,
HTGC,Financial Services,Asset Management,2602964480.0,7.6594596,7.2271585,1.1542848,4.8882604,,1.85,0.128,0.314,0.16156,0.06608,1.0,0.83821,0.63800997,103.91,0.197,13.27,0.823,0.0659,0.29402
HTH,Financial Services,Financial Conglomerates,2123807232.0,13.117424,14.926725,0.95087737,1.6663376,,2.64,0.049,0.257,0.07791,0.01071,0.0,0.165,0.12991999,,,2.14,0.919,0.05,0.57467
HTT,Financial Services,Credit Services,462145408.0,3.935484,,0.228189,11.281745,,0.62,-0.939,,0.06183,-0.0165,0.07126,-33.9728,17.298769,13.591,5.735,,0.891,0.0036000002,0.14736
HUBS,Technology,Software - Application,13649777664.0,304.48233,16.985626,6.5828156,4.359188,,0.85,0.204,9.681,0.0231,0.0020299999,0.83761,0.05687,0.01466,12.695,1.669,,1.446,0.0685,0.92664003
HUN,Basic Materials,Chemicals,1811437184.0,,47.296684,0.653443,0.31874666,,-1.59,-0.067,,-0.07124,-0.00062,0.13215,-0.03395,-0.04997,81.197,1.299,3.36,0.657,0.1496,0.93236
